employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
65438,1,7,2,0,1,1,35,5,8,1,0,49,0
65141,2,22,1,1,0,1,30,5,4,0,0,60,0
7513,1,19,1,1,1,1,34,3,7,0,0,50,0
2542,1,23,1,1,0,2,39,1,10,0,0,50,0
48945,4,26,1,1,0,1,45,3,2,0,0,73,0
58896,5,2,1,1,1,2,31,3,7,0,0,85,0
20379,2,20,1,0,0,1,31,3,5,0,0,59,0
16290,2,34,2,1,1,1,33,3,6,0,0,63,0
73202,5,20,1,1,0,1,28,4,5,0,0,83,0
28911,1,1,2,1,1,1,32,5,5,1,0,54,0
29934,4,23,0,1,1,1,30,0,1,0,0,77,0
49017,1,7,1,0,1,1,35,5,3,1,0,50,1
60051,1,4,1,1,1,1,49,5,5,1,0,49,0
38401,4,29,2,1,0,2,39,3,16,0,0,80,0
77040,9,2,2,1,1,1,37,3,7,0,0,84,0
43931,2,7,1,1,0,1,37,1,10,0,0,60,0
7152,4,2,1,1,0,1,38,3,5,1,0,77,0
9403,1,31,1,1,0,1,34,1,4,0,0,51,0
17436,1,31,1,1,0,1,34,5,8,1,0,46,0
54461,2,15,1,1,0,1,37,3,9,0,0,59,0
12067,3,14,1,1,0,1,35,3,7,0,0,75,0
33332,2,15,0,1,1,1,41,4,11,0,0,57,0
58789,6,11,1,0,0,1,28,3,4,0,0,63,0
71177,3,5,1,1,0,1,27,0,1,0,0,70,0
52057,6,22,2,1,1,2,39,5,7,0,0,59,0
26585,4,22,1,1,0,1,27,5,3,1,0,83,0
37749,3,26,1,1,0,1,31,5,4,1,0,68,0
2370,4,26,1,1,0,1,33,4,4,0,0,79,0
8219,5,5,1,1,0,1,29,5,3,1,0,80,0
74759,1,4,1,1,1,1,26,0,1,0,0,44,0
27395,3,15,1,1,1,1,37,5,10,1,0,72,0
58536,6,31,1,1,0,2,26,1,2,0,0,61,0
35465,1,7,0,0,1,1,24,1,2,0,0,48,0
51756,2,2,1,1,1,2,57,4,6,0,0,58,0
57011,5,22,1,1,0,2,27,5,3,1,0,87,0
77064,1,22,1,1,0,1,40,2,4,1,0,47,0
64062,4,28,1,1,1,1,33,4,4,1,0,75,0
47123,1,7,1,0,1,1,40,5,3,0,0,47,0
56275,1,1,2,1,0,1,42,5,5,1,0,51,0
58304,1,28,1,1,1,1,33,5,6,1,0,51,1
25014,4,15,1,1,0,1,34,3,10,0,0,80,0
40097,2,2,1,0,0,2,23,4,2,1,0,57,0
23560,7,2,1,1,1,1,59,4,26,1,0,52,0
17423,1,2,0,1,0,3,24,2,2,0,0,48,0
61758,5,2,1,1,0,1,44,5,12,0,0,88,0
75009,3,17,1,0,1,1,50,5,11,0,0,71,0
17876,3,13,2,0,0,1,37,4,4,0,0,71,0
36924,4,16,1,1,1,1,40,3,11,0,0,80,0
50408,1,20,1,1,1,1,30,3,3,1,0,49,0
18013,3,2,2,0,1,1,56,3,12,0,0,73,0
24104,6,2,1,1,1,1,20,4,2,1,0,60,0
32083,1,25,1,0,1,1,31,3,8,0,0,48,0
38330,3,15,1,1,1,1,40,3,12,1,0,65,0
33690,7,22,1,1,0,1,30,1,6,0,0,50,0
73161,2,22,1,1,0,1,39,3,5,1,0,62,0
13596,5,31,1,1,0,2,26,2,2,0,0,85,0
45709,1,31,1,0,0,1,29,0,1,0,0,49,0
32709,9,22,2,1,1,1,40,3,5,1,0,84,0
26599,1,16,1,1,0,2,27,0,1,1,0,47,0
32656,1,19,1,1,0,1,40,4,7,0,0,52,0
17673,1,4,2,1,0,1,50,4,17,1,0,47,1
3113,1,29,1,1,1,1,25,3,3,0,0,53,0
9150,5,22,1,0,0,1,28,0,1,1,0,80,0
14107,1,1,2,1,1,1,35,4,2,1,0,52,0
58747,9,26,1,1,0,1,34,5,5,0,0,87,0
3342,2,13,2,0,1,1,31,3,3,1,0,58,0
77981,6,22,1,1,0,1,27,0,1,1,1,58,1
16502,1,22,1,1,1,1,27,0,1,0,0,61,1
73729,3,10,1,1,0,1,30,4,6,1,0,75,0
45624,5,31,1,1,0,1,30,3,7,1,0,84,1
75677,2,22,1,0,0,1,50,5,5,1,0,59,0
24040,4,22,2,1,0,1,34,5,7,1,0,78,1
68082,1,2,2,0,1,1,41,1,12,0,0,52,0
51786,1,16,1,1,1,1,32,4,6,0,0,44,0
77577,1,7,1,1,0,1,50,3,14,0,0,52,0
54782,1,2,2,1,1,1,38,4,2,1,0,49,1
52368,1,27,1,1,1,2,29,1,5,0,0,51,0
75103,1,30,1,1,1,1,35,4,3,1,0,53,0
7520,5,2,1,1,0,1,25,3,2,1,0,91,0
59147,1,22,1,1,1,1,30,3,3,0,0,58,1
53092,4,2,1,1,2,1,47,3,7,0,0,79,0
34564,2,4,2,1,1,1,35,2,7,0,0,53,0
66013,1,2,0,1,1,2,25,3,2,0,0,53,0
77135,9,22,1,1,0,1,36,4,8,0,0,82,0
44575,8,7,1,1,0,1,29,0,1,0,0,65,1
47498,2,11,2,0,1,1,42,5,11,1,0,60,1
20798,7,20,1,0,1,1,28,2,6,0,0,52,0
69094,1,2,0,1,1,1,39,1,9,0,0,49,0
22261,3,7,2,1,1,1,32,5,3,1,0,69,1
9589,1,31,1,0,0,1,31,0,1,0,0,51,0
62658,1,2,0,0,1,1,20,0,1,0,0,55,0
21628,5,12,1,1,0,1,34,3,8,0,0,85,0
68484,3,2,2,1,1,2,46,4,3,1,0,74,0
44523,7,2,2,1,0,1,47,3,7,0,0,44,0
35420,2,2,1,0,0,1,44,4,13,0,0,53,0
43923,5,14,1,1,1,1,31,4,4,1,0,86,0
64109,4,26,1,0,1,1,23,0,1,0,0,77,0
41983,2,2,1,0,1,1,33,3,5,0,0,57,0
21440,1,31,1,1,0,1,41,3,12,1,0,52,0
